사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,합계
202501,1호선,동대문,574,24,9298,1703,7860,5151,11813,8559,18158,15811,18430,18049,16026,20262,17468,24872,22384,25646,25385,26082,27184,24958,27875,24307,28303,22684,26663,21429,23573,21212,16634,18842,14155,13464,12642,13031,9308,12924,4945,8278,701,2571,12,217,0,0,0,0,20250203,669467
202501,1호선,동묘앞,140,5,2218,815,3245,4101,7160,6660,11567,13278,9781,14666,11100,19280,15751,27393,22120,31223,27830,34737,32780,31568,34715,26600,33501,18892,27785,12894,17615,11060,8443,8456,4992,6118,4222,6035,2884,5989,1246,3908,133,1749,2,214,0,0,0,0,20250203,564871
202501,1호선,서울역,560,51,8353,7685,20145,46128,61204,103944,101648,212041,82745,143188,84689,84059,100778,84201,117895,98491,115677,98587,100616,92390,123489,105002,136918,108439,194132,125921,226622,139109,126968,99249,91632,70567,93721,64819,61489,45228,28021,23793,4266,6765,239,237,0,0,0,0,20250203,3641701
202501,1호선,시청,89,0,1633,4268,3078,20969,6047,61835,8413,168180,10230,78238,12944,40446,19001,42728,21188,44488,27616,51215,39919,43881,55007,34339,69207,28004,89724,27045,146293,22989,60550,12394,50157,8748,42548,7281,25105,4989,8471,3044,429,811,9,24,0,0,0,0,20250203,1403574
202501,1호선,신설동,362,10,7742,1924,8178,6905,17444,19817,27940,45873,18253,28418,16877,19426,19071,18092,21238,18266,23468,19427,22655,18130,24264,19640,27593,20644,36745,22233,47418,28018,18013,20072,12334,14444,10499,13853,7529,11598,3409,7801,360,2314,3,46,0,0,0,0,20250203,728346
202501,1호선,제기동,305,1,4599,2124,7544,8403,18179,18059,27346,32939,19846,28400,22156,35802,30131,48588,39187,50713,42384,53088,48430,50324,52009,39642,49715,33170,42855,25530,35211,23917,18371,16477,12333,11216,7975,10118,5118,8651,2214,5610,189,1381,8,49,0,0,0,0,20250203,990307
202501,1호선,종각,138,3,4176,4949,3897,28257,5592,99730,9001,234423,10885,129348,15958,55283,25375,54132,30702,50033,38596,54426,51096,45280,65643,41445,83262,41884,143005,46444,203922,46683,93066,23397,79473,12018,77659,9173,56829,6455,24793,4161,1714,1049,12,16,0,0,0,0,20250203,2013383
202501,1호선,종로3가,140,9,3338,2424,3227,9593,4432,22259,7290,55799,10916,56161,17115,50381,28173,60941,40398,62220,45282,59530,54172,51337,63620,43871,69648,40426,80023,37703,84231,36626,50266,18705,42311,10241,42297,7962,32251,6161,14304,4001,1378,1692,14,38,0,0,0,0,20250203,1332906
202501,1호선,종로5가,33,1,1504,2880,2611,12776,4801,34550,8449,77766,11518,53056,19655,49201,29640,53383,38432,50347,46746,50541,54644,47253,59242,40398,62857,35723,79436,31788,81789,27686,42757,14865,30765,8583,27186,6211,15062,4783,4851,3106,255,809,0,21,0,0,0,0,20250203,1227960
202501,1호선,청량리(서울시립대입구),830,15,8829,2757,14761,8484,39975,14279,49548,32939,32758,31149,29960,37273,38198,47757,44745,48869,49053,51592,53029,54152,58292,49879,56912,46897,50140,45912,41811,52294,24100,34991,18407,22043,14336,20684,8920,17536,3751,11075,308,3378,5,64,0,0,0,0,20250203,1272687
202501,2호선,강남,180,12,7754,9857,17016,47784,36086,133296,54934,271798,46793,296833,50274,147677,67678,102127,84701,101974,101339,117917,112425,106390,135084,101154,159108,106876,229820,134963,288592,169578,199606,99578,154150,55635,170385,44575,153632,35809,72917,21367,11246,5571,43,22,0,0,0,0,20250203,4264556
202501,2호선,강변(동서울터미널),18,2,7515,1648,19001,17697,55514,19028,85384,35493,65760,31739,54924,32556,49602,32330,46990,36956,45316,40027,42600,43526,44463,50369,46740,52843,49927,63014,50691,81822,35452,58201,27347,41262,22585,32541,14465,29500,5352,16161,626,3982,4,17,0,0,0,0,20250203,1490990
202501,2호선,건대입구,276,10,14290,1633,19840,12536,44473,19729,77591,47435,57024,42475,36726,37860,35585,43810,41569,50685,46531,56261,48348,58708,53581,64035,61264,76171,71409,99655,78607,138131,60544,95765,63615,61295,67863,56326,70198,48705,42968,29211,6510,9877,25,885,0,0,0,0,20250203,2050035
202501,2호선,교대(법원.검찰청),23,1,2463,6005,9747,22067,20070,45970,31599,136355,25012,117751,23456,63010,29206,54094,32542,50099,40099,53034,46391,46635,50260,42770,54944,45060,87255,57284,117597,63452,56584,37966,46259,23543,45336,20985,35222,20202,14390,10876,2625,2908,6,23,0,0,0,0,20250203,1691176
202501,2호선,구로디지털단지,199,14,33233,4276,45261,18508,118302,70149,159817,194238,102292,122168,65099,53066,59394,43826,67164,49191,66664,61997,61943,59998,68862,66189,80745,77954,125033,101493,180417,145508,89523,116842,57473,79011,47083,76966,37121,72544,17455,43414,3091,12131,14,287,0,0,0,0,20250203,2955955
202501,2호선,구의(광진구청),68,6,11361,1246,22530,26784,57493,15456,100327,34612,63668,20779,36269,18970,30639,19829,32646,23326,32569,26784,30580,28829,32678,35345,40728,41103,41071,54893,40930,87578,25436,62262,18850,43335,16484,41014,14837,36144,7862,20246,1201,6404,10,37,0,0,0,0,20250203,1303219
202501,2호선,낙성대(강감찬),33,2,9976,1940,22869,8194,69018,12983,106677,34956,72517,28953,41327,23269,36079,23718,38737,25429,39116,27634,35550,30996,34161,36267,37222,41470,41557,56038,46368,90054,26574,75183,20583,51013,18880,47283,14588,46264,7749,28490,1246,7099,1,63,0,0,0,0,20250203,1418126
202501,2호선,당산,29,8,7286,3145,16409,11636,38893,22538,49250,64915,30793,28676,22067,15529,21716,15542,23828,17447,23334,19214,21721,20112,22701,23435,26611,29834,37177,43442,50453,66003,22676,44509,18258,30410,17691,29312,15119,26522,7924,17300,1215,3961,1,90,0,0,0,0,20250203,1008732
202501,2호선,대림(구로구청),568,12,28555,2838,25826,9777,54830,18077,83483,43469,57911,30450,38579,31388,33951,35882,35913,33460,36465,34060,34320,33478,34813,40791,36801,46177,40906,54709,44772,61551,23647,46142,17619,36585,13764,44672,10194,41309,5256,20571,724,5001,13,179,0,0,0,0,20250203,1329488
202501,2호선,도림천,2,0,351,346,1034,709,2743,2581,3142,4951,1984,2100,2388,1573,1764,1289,2245,1851,1725,1822,2215,1756,1910,1620,2564,1964,2910,2376,3061,3233,1656,2480,796,1689,845,1501,447,1230,167,863,26,281,1,8,0,0,0,0,20250203,70199
